TAXREF17;TAXREF17
CD_REF;NOM LATIN
81970;Amaranthus capensis
81971;Amaranthus caudatus
926940;Amaranthus crispus
81976;Amaranthus cruentus
81978;Amaranthus deflexus
131288;Amaranthus dinteri
957250;Amaranthus dinteri subsp. dinteri
131288;Amaranthus capensis subsp. uncinatus
81991;Amaranthus graecizans
131291;Amaranthus graecizans subsp. graecizans
131292;Amaranthus graecizans subsp. silvestris
81976;Amaranthus hybridus
961575;Amaranthus powellii subsp. bouchonii
1007761;Amaranthus hybridus x
81992;Amaranthus hybridus
81994;Amaranthus hypochondriacus
81992;Amaranthus hybridus
81992;Amaranthus hybridus
961574;Amaranthus powellii subsp. powellii
81992;Amaranthus hybridus
;
;
82006;Amaranthus muricatus
82009;Amaranthus palmeri
82014;Amaranthus blitum subsp. emarginatus
82017;Amaranthus quitensis
81992;Amaranthus retroflexus
82023;Amaranthus spinosus
82024;Amaranthus standleyanus
;
82030;Amaranthus tricolor
81966;Amaranthus blitum
82038;Amaranthus x alleizettei
82037;Amaranthus x adulterinus
82045;Amaranthus x ralletii
997880;Amaranthus x ralletii
82060;Amaryllis belladonna
161986;Amblyopyrum muticum
161986;Amblyopyrum muticum
161986;Amblyopyrum muticum
82080;Ambrosia artemisiifolia
610847;Ambrosia psilostachya
82086;Ambrosia maritima
82093;Ambrosia psilostachya
82092;Ambrosia tenuifolia
82093;Ambrosia trifida
82095;Ambrosina bassii
82101;Amelanchier canadensis
82101;Amelanchier lamarckii
82103;Amelanchier ovalis
131308;Amelanchier ovalis subsp. ovalis
131308;Amelanchier ovalis subsp. ovalis
162649;Amelanchier spicata
788852;Amelichloa ambigua
788853;Amelichloa brachychaeta
788854;Amelichloa caudata
;
82120;Ammannia coccinea
160299;Ammannia robusta
82130;Ammi majus
82130;Ammi majus
82130;Ammi majus
82130;Ammi majus
82134;Ammochloa pungens
82136;Ammoides pusilla
82139;Ammophila arenaria
131313;Ammophila arenaria subsp. arenaria
131314;Ammophila arenaria subsp. arundinacea
82146;Amomyrtus luma
82164;Amorpha fruticosa
82173;Ampelodesmos mauritanicus
788797;Amsinckia calycina
788797;Amsinckia calycina
82194;Amsinckia lycopsoides
788797;Amsinckia calycina
;
;
719215;Anacamptis morio subsp. champagneuxii
82280;Anacamptis collina
82282;Anacamptis coriophora
162132;Anacamptis coriophora subsp. coriophora
611338;Anacamptis coriophora subsp.
717075;Anacamptis fragrans
162133;Anacamptis coriophora subsp. martrinii
610694;Anacamptis fragrans
610694;Anacamptis fragrans x
610700;Anacamptis fragrans x
82283;Anacamptis laxiflora
610691;Anacamptis laxiflora x
611330;Anacamptis laxiflora x
611329;Anacamptis laxiflora x
611326;Anacamptis laxiflora x
611347;Anacamptis laxiflora x
719216;Anacamptis morio subsp. longicornu
82285;Anacamptis morio
719215;Anacamptis morio subsp. champagneuxii
610690;Anacamptis morio subsp. longicornu
610690;Anacamptis morio subsp.
610692;Anacamptis morio subsp.
719217;Anacamptis morio subsp. morio
611349;Anacamptis morio subsp. picta
611349;Anacamptis morio subsp.
610693;Anacamptis morio x
82286;Anacamptis palustris
82286;Anacamptis palustris
82286;Anacamptis palustris
611331;Anacamptis palustris x
82287;Anacamptis papilionacea
82288;Anacamptis pyramidalis
613137;Anacamptis pyramidalis var. pyramidalis
143482;Anacamptis pyramidalis var. tanayensis
162182;Anacamptis x alata
162183;Anacamptis x albertii
717076;Anacamptis x bicknellii
162191;Anacamptis x bornemannii
162192;Anacamptis x cortesii
608842;Anacamptis x darcissii
162225;Anacamptis x duquesneyi
610697;Anacamptis x galloprovinciana
162204;Anacamptis x genevensis
162252;Anacamptis x gennarii
162154;Anacamptis x heraclea
610698;Anacamptis x heraclea
162229;Anacamptis x laniccae
717077;Anacamptis x larzacensis
162185;Anacamptis x lloydiana
162168;Anacamptis x menosii
162186;Anacamptis x nicodemii
162187;Anacamptis x olida
162165;Anacamptis x parvifolia
610699;Anacamptis x parvifolia
162189;Anacamptis x sarcidani
162163;Anacamptis x simorrensis
162162;Anacamptis x ticinensis
162190;Anacamptis x timbalii
162230;Anacamptis x vanlookenii
82305;Anacyclus clavatus
